"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","17.4%","","26.4%","","43.4%",""
"Households with a computer, percent, 2014-2018","","89.8%","","92.8%","","87.9%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","80.0%","","81.8%","","76.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","90.6%","","88.5%","","82.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","57.6%","","45.7%","","25.9%",""
"With a disability, under age 65 years, percent, 2014-2018","","8.6%","","7.4%","","10.8%",""
"Persons  without health insurance, under age 65 years, percent","","4.5%","","15.1%","","18.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","69.5%","","71.2%","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","67.9%","","64.8%","","58.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","5,101,602","","961,646","","4,616,284",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","8,963,981","","3,140,405","","11,490,155",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","309,832","","11,969,157","","14,068,085",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","2,591,868","","10,292,791","","D",""
"Total retail sales, 2012 ($1,000)","(c)","4,439,933","","4,071,084","","23,870,168",""
"Total retail sales per capita, 2012","(c)","$7,022","","$21,504","","$17,260",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","30.3","","19.4","","24.4",""
"Median household income (in 2018 dollars), 2014-2018","","$82,604","","$56,370","","$50,980",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$53,321","","$34,711","","$25,091",""
"Persons in poverty, percent","","16.8%","","17.9%","","18.6%",""
"Total employer establishments, 2018","","X","","X","","X",""
"Total employment, 2018","","X","","X","","X",""
"Total annual payroll, 2018 ($1,000)","","X","","X","","X",""
"Total employment, percent change, 2017-2018","","X","","X","","X",""
"Total nonemployer establishments, 2018","","X","","X","","X",""
"All firms, 2012","","63,408","","24,710","","117,546",""
"Men-owned firms, 2012","","30,237","","13,482","","63,283",""
"Women-owned firms, 2012","","27,064","","6,970","","44,295",""
"Minority-owned firms, 2012","","29,983","","3,327","","71,287",""
"Nonminority-owned firms, 2012","","29,521","","19,325","","41,983",""
"Veteran-owned firms, 2012","","5,070","","1,969","","11,725",""
"Nonveteran-owned firms, 2012","","54,217","","20,510","","101,019",""
"Population per square mile, 2010","","9,856.6","","1,678.0","","2,879.8",""
"Land area in square miles, 2010","","61.05","","111.11","","460.93",""
"FIPS Code","","""1150000""","","""4967000""","","""4865000""",""
"","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","",""
"","","","","","","",""
"Value Notes","","","","","","",""
"None","","","","","","",""
"","","","","","","",""
"Fact Notes","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","",""
"","","","","","","",""
"Value Flags","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","",""
"F","Fewer than 25 firms","","","","","",""
"FN","Footnote on this item in place of data","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","",""
"NA","Not available","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","",""
"X","Not applicable","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","",""
